feature,dtype,missing_count,missing_percent,unique_values,memory_mb
member_id,float32,894972,100.0,1,3.41
next_pymnt_d,category,894972,100.0,1,0.85
orig_projected_additional_accrued_interest,float32,892216,99.69,2603,3.41
sec_app_mths_since_last_major_derog,float32,891035,99.56,106,3.41
hardship_length,float32,890903,99.55,2,3.41
hardship_amount,float32,890903,99.55,3758,3.41
hardship_status,category,890903,99.55,3,0.85
deferral_term,float32,890903,99.55,2,3.41
hardship_end_date,category,890903,99.55,26,0.86
hardship_reason,category,890903,99.55,10,0.85
hardship_start_date,category,890903,99.55,27,0.86
hardship_type,category,890903,99.55,2,0.85
hardship_loan_status,category,890903,99.55,6,0.85
hardship_payoff_balance_amount,float64,890903,99.55,4069,6.83
hardship_dpd,float32,890903,99.55,34,3.41
payment_plan_start_date,category,890903,99.55,26,0.86
hardship_last_payment_amount,float32,890903,99.55,3672,3.41
sec_app_revol_util,float32,884018,98.78,1076,3.41
sec_app_collections_12_mths_ex_med,float32,883835,98.76,12,3.41
sec_app_chargeoff_within_12_mths,float32,883835,98.76,14,3.41
sec_app_fico_range_low,float32,883835,98.76,60,3.41
sec_app_open_acc,float32,883835,98.76,50,3.41
sec_app_num_rev_accts,float32,883835,98.76,65,3.41
revol_bal_joint,float32,883835,98.76,10183,3.41
sec_app_open_act_il,float32,883835,98.76,33,3.41
sec_app_fico_range_high,float32,883835,98.76,60,3.41
sec_app_earliest_cr_line,category,883835,98.76,537,1.76
sec_app_inq_last_6mths,float32,883835,98.76,8,3.41
sec_app_mort_acc,float32,883835,98.76,17,3.41
verification_status_joint,category,880715,98.41,4,0.85
dti_joint,float32,880586,98.39,3324,3.41
annual_inc_joint,float64,880583,98.39,3306,6.83
desc,category,879737,98.3,14792,5.09
settlement_status,category,870538,97.27,4,0.85
settlement_percentage,float32,870538,97.27,1516,3.41
debt_settlement_flag_date,category,870538,97.27,55,0.86
settlement_amount,float64,870538,97.27,17290,6.83
settlement_term,float32,870538,97.27,39,3.41
settlement_date,category,870538,97.27,57,0.86
mths_since_last_record,float32,731197,81.7,124,3.41
mths_since_recent_bc_dlq,float32,666356,74.46,162,3.41
mths_since_last_major_derog,float32,636959,71.17,170,3.41
il_util,float32,622571,69.56,219,3.41
mths_since_rcnt_il,float32,588278,65.73,309,3.41
total_bal_il,float32,579755,64.78,96902,3.41
open_il_24m,float32,579755,64.78,31,3.41
inq_fi,float32,579755,64.78,28,3.41
inq_last_12m,float32,579756,64.78,42,3.41
max_bal_bc,float32,579755,64.78,24886,3.41
all_util,float32,579781,64.78,167,3.41
open_acc_6m,float32,579756,64.78,20,3.41
open_act_il,float32,579755,64.78,47,3.41
open_rv_24m,float32,579755,64.78,48,3.41
open_rv_12m,float32,579755,64.78,27,3.41
open_il_12m,float32,579755,64.78,20,3.41
total_cu_tl,float32,579756,64.78,48,3.41
mths_since_recent_revol_delinq,float32,575895,64.35,165,3.41
mths_since_last_delinq,float32,436573,48.78,158,3.41
mths_since_recent_inq,float32,86383,9.65,27,3.41
emp_title,category,55777,6.23,214893,31.05
emp_length,category,54213,6.06,12,0.85
num_tl_120dpd_2m,float32,39632,4.43,6,3.41
mo_sin_old_il_acct,float32,26224,2.93,510,3.41
title,category,13357,1.49,2069,1.9
bc_util,float32,9893,1.11,1408,3.41
percent_bc_gt_75,float32,9740,1.09,233,3.41
bc_open_to_buy,float32,9340,1.04,67013,3.41
mths_since_recent_bc,float32,8784,0.98,471,3.41
last_pymnt_d,category,1316,0.15,63,0.86
revol_util,float32,475,0.05,1270,3.41
dti,float32,223,0.02,6277,3.41
purpose,category,0,0.0,14,0.85
funded_amnt,float32,0,0.0,1519,3.41
loan_amnt,float32,0,0.0,1519,3.41
id,object,0,0.0,894972,48.76
url,object,0,0.0,894972,97.41
loan_status,category,0,0.0,2,0.85
pymnt_plan,category,0,0.0,1,0.85
verification_status,category,0,0.0,3,0.85
issue_d,category,0,0.0,43,0.86
grade,category,0,0.0,7,0.85
sub_grade,category,0,0.0,35,0.86
annual_inc,float64,0,0.0,48280,6.83
home_ownership,category,0,0.0,5,0.85
funded_amnt_inv,float64,0,0.0,1534,6.83
term,category,0,0.0,2,0.85
int_rate,float32,0,0.0,309,3.41
installment,float32,0,0.0,68712,3.41
addr_state,category,0,0.0,51,0.86
zip_code,category,0,0.0,933,1.79
mo_sin_rcnt_tl,float32,0,0.0,185,3.41
delinq_amnt,float32,0,0.0,1605,3.41
chargeoff_within_12_mths,float32,0,0.0,11,3.41
mo_sin_rcnt_rev_tl_op,float32,0,0.0,273,3.41
mo_sin_old_rev_tl_op,float32,0,0.0,741,3.41
avg_cur_bal,float32,11,0.0,69624,3.41
tot_cur_bal,float32,0,0.0,343117,3.41
tot_coll_amt,float32,0,0.0,11599,3.41
acc_now_delinq,float32,0,0.0,8,3.41
application_type,category,0,0.0,2,0.85
total_acc,float32,0,0.0,142,3.41
earliest_cr_line,category,0,0.0,725,1.76
